                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 3.2384,                 5.6285,                 4.2919,                      0,                      0,                      0,                      0,                  3.381,                 5.3148,                 4.1619,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                 3.5625,                  5.447,                 4.2207,                      0,                      0,                      0,                      0,                  3.381,                 5.3148,                 4.1619,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                 2.9693,                 5.4822,                 4.3888,                      0,                      0,                      0,                      0,                 3.3811,                 5.3183,                 4.1619,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                 2.9217,                  5.555,                  4.268,                      0,                      0,                      0,                      0,                 3.3811,                 5.3183,                 4.1619,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                 3.2011,                  5.435,                  4.366,                      0,                      0,                      0,                      0,                 3.3804,                 5.3141,                 4.1619,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                 2.7575,                 5.4595,                 4.2651,                      0,                      0,                      0,                      0,                 3.3804,                 5.3141,                 4.1619,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                 3.1145,                 5.5231,                 4.2819,                      0,                      0,                      0,                      0,                 3.3814,                 5.3168,                  4.162,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                 3.4867,                 5.5393,                  4.358,                      0,                      0,                      0,                      0,                 3.3814,                 5.3168,                  4.162,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 3.0518,                 5.4101,                  4.291,                      0,                      0,                      0,                      0,                 3.3806,                 5.3144,                 4.1624,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                 2.9322,                 5.3944,                 4.3393,                      0,                      0,                      0,                      0,                 3.3806,                 5.3144,                 4.1624,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                 2.9114,                  5.388,                 4.2277,                      0,                      0,                      0,                      0,                 3.3806,                 5.3144,                 4.1625,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                 3.2351,                 5.4842,                  4.287,                      0,                      0,                      0,                      0,                 3.3806,                 5.3144,                 4.1625,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                 3.2081,                 5.7901,                   4.23,                      0,                      0,                      0,                      0,                 3.3802,                 5.3132,                 4.1628,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                 3.1834,                 5.5778,                 4.2559,                      0,                      0,                      0,                      0,                 3.3802,                 5.3132,                 4.1628,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                 3.5472,                 5.6093,                 4.2974,                      0,                      0,                      0,                      0,                 3.3816,                  5.315,                 4.1631,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                 3.0199,                 5.3398,                 4.2823,                      0,                      0,                      0,                      0,                 3.3816,                  5.315,                 4.1631,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                 3.1429,                 5.4084,                 4.2454,                      0,                      0,                      0,                      0,                 3.3825,                 5.3152,                 4.1632,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                 3.5573,                 5.3587,                  4.262,                      0,                      0,                      0,                      0,                 3.3825,                 5.3152,                 4.1632,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                 2.7673,                 5.4946,                 4.2787,                      0,                      0,                      0,                      0,                 3.3825,                 5.3152,                 4.1632,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                 3.1149,                 5.3566,                    4.3,                      0,                      0,                      0,                      0,                 3.3829,                 5.3116,                 4.1636,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                 3.4692,                 5.4387,                 4.2222,                      0,                      0,                      0,                      0,                 3.3829,                 5.3116,                 4.1636,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 2.9515,                 5.4838,                 4.1912,                      0,                      0,                      0,                      0,                 3.3829,                 5.3116,                 4.1636,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                  3.087,                 5.4752,                 4.2699,                      0,                      0,                      0,                      0,                 3.3821,                 5.3122,                  4.164,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                 3.0027,                 5.6637,                 4.5202,                      0,                      0,                      0,                      0,                 3.3821,                 5.3122,                  4.164,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                 2.6826,                 5.3727,                 4.3684,                      0,                      0,                      0,                      0,                 3.3821,                 5.3122,                  4.164,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                 3.1061,                 5.2567,                 4.3571,                      0,                      0,                      0,                      0,                 3.3821,                  5.314,                 4.1645,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                 3.4518,                 5.5142,                 4.3742,                      0,                      0,                      0,                      0,                 3.3821,                  5.314,                 4.1645,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                  2.947,                 5.4672,                 4.2395,                      0,                      0,                      0,                      0,                 3.3821,                  5.314,                 4.1645,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                 3.0352,                 5.5389,                 4.3808,                      0,                      0,                      0,                      0,                 3.3831,                 5.3111,                 4.1647,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                 3.1735,                 5.4234,                 4.3598,                      0,                      0,                      0,                      0,                 3.3831,                 5.3111,                 4.1647,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                 3.2315,                 5.3982,                 4.2542,                      0,                      0,                      0,                      0,                 3.3831,                 5.3111,                 4.1647,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                 3.3581,                 5.3393,                 4.2136,                      0,                      0,                      0,                      0,                 3.3832,                 5.3102,                 4.1654,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                 3.0305,                 5.3161,                 4.2503,                      0,                      0,                      0,                      0,                 3.3832,                 5.3102,                 4.1654,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                 3.0556,                 5.6531,                  4.267,                      0,                      0,                      0,                      0,                 3.3832,                 5.3102,                 4.1654,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                 2.7574,                 5.3966,                 4.3396,                      0,                      0,                      0,                      0,                 3.3834,                 5.3128,                 4.1658,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                 3.1782,                  6.184,                 4.2849,                      0,                      0,                      0,                      0,                 3.3834,                 5.3128,                 4.1658,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                 3.2827,                 5.4048,                 4.2676,                      0,                      0,                      0,                      0,                 3.3834,                 5.3128,                 4.1658,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                  2.742,                 5.5264,                 4.1943,                      0,                      0,                      0,                      0,                 3.3844,                 5.3126,                 4.1663,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                 2.7218,                 5.5123,                 4.2198,                      0,                      0,                      0,                      0,                 3.3844,                 5.3126,                 4.1663,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                 3.2257,                 5.4072,                 4.1952,                      0,                      0,                      0,                      0,                 3.3844,                 5.3126,                 4.1663,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                 3.1754,                  5.504,                 4.3049,                      0,                      0,                      0,                      0,                 3.3851,                 5.3102,                 4.1669,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                 3.2108,                 5.4285,                 4.3309,                      0,                      0,                      0,                      0,                 3.3851,                 5.3102,                 4.1669,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                  3.011,                 5.4823,                  4.317,                      0,                      0,                      0,                      0,                 3.3851,                 5.3102,                 4.1669,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                 2.9524,                 5.4125,                  4.203,                      0,                      0,                      0,                      0,                  3.385,                 5.3128,                 4.1678,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                 3.6777,                 5.7925,                 4.1879,                      0,                      0,                      0,                      0,                  3.385,                 5.3128,                 4.1678,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                 3.3333,                 5.3775,                 4.2966,                      0,                      0,                      0,                      0,                  3.385,                 5.3128,                 4.1678,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                 3.0459,                 5.2813,                 4.2717,                      0,                      0,                      0,                      0,                 3.3877,                 5.3121,                 4.1682,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                 2.5624,                 5.4411,                 4.1774,                      0,                      0,                      0,                      0,                 3.3877,                 5.3121,                 4.1682,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                 3.3148,                 5.6244,                 4.2543,                      0,                      0,                      0,                      0,                 3.3877,                 5.3121,                 4.1682,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                 2.9231,                 5.2938,                 4.2086,                      0,                      0,                      0,                      0,                 3.3878,                 5.3101,                 4.1693,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                 3.2097,                  5.268,                 4.2393,                      0,                      0,                      0,                      0,                 3.3878,                 5.3101,                 4.1693,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                  3.227,                 5.3621,                 4.2931,                      0,                      0,                      0,                      0,                 3.3878,                 5.3101,                 4.1693,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                 2.9039,                 5.1687,                 4.2773,                      0,                      0,                      0,                      0,                 3.3878,                 5.3101,                 4.1693,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                 3.4708,                 5.4322,                 4.1731,                      0,                      0,                      0,                      0,                 3.3893,                 5.3095,                   4.17,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                 2.9386,                 5.3904,                 4.3134,                      0,                      0,                      0,                      0,                 3.3893,                 5.3095,                   4.17,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                 2.9064,                 5.6978,                 4.2873,                      0,                      0,                      0,                      0,                 3.3893,                 5.3095,                   4.17,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                 2.7337,                  5.503,                 4.2419,                      0,                      0,                      0,                      0,                 3.3893,                 5.3095,                   4.17,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                 2.9718,                 5.3745,                 4.2364,                      0,                      0,                      0,                      0,                 3.3893,                 5.3073,                 4.1707,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                 2.9767,                 5.3564,                 4.2763,                      0,                      0,                      0,                      0,                 3.3893,                 5.3073,                 4.1707,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                 2.6333,                 5.3268,                 4.2372,                      0,                      0,                      0,                      0,                 3.3893,                 5.3073,                 4.1707,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                 2.6941,                 5.5341,                 4.2169,                      0,                      0,                      0,                      0,                 3.3893,                 5.3073,                 4.1707,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                 2.5912,                 5.3783,                 4.2765,                      0,                      0,                      0,                      0,                 3.3907,                 5.3099,                 4.1715,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                 3.0114,                 5.3602,                 4.4481,                      0,                      0,                      0,                      0,                 3.3907,                 5.3099,                 4.1715,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                  2.968,                 5.5319,                 4.2883,                      0,                      0,                      0,                      0,                 3.3907,                 5.3099,                 4.1715,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                  2.576,                 5.3858,                 4.2744,                      0,                      0,                      0,                      0,                 3.3907,                 5.3099,                 4.1715,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                 2.8384,                 5.4684,                 4.2441,                      0,                      0,                      0,                      0,                 3.3925,                 5.3078,                  4.172,             2.3444e-06,             2.3444e-06,             2.3444e-06
