                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3364,                 3.7261,                 1.3935,                0.01092,                 0.9537,                0.35059,                0.26629,                 1.0636,                 3.1359,                 1.1696,             0.00032381,             0.00032381,             0.00032381
                      2,                 1.1906,                 2.4257,                 1.3089,                0.64492,                0.48372,                 0.5877,                0.39131,                 1.1108,                 2.7942,                 1.2762,             0.00065389,             0.00065389,             0.00065389
                      3,                 1.2451,                 2.2463,                 1.3448,                0.57421,                0.54033,                0.67663,                0.45113,                 1.2333,                 2.5435,                 1.3866,             0.00098067,             0.00098067,             0.00098067
                      4,                  1.246,                 2.1024,                 1.3605,                0.65778,                0.52575,                0.69686,                0.46563,                 1.2008,                 1.8984,                 1.3966,             0.00098515,             0.00098515,             0.00098515
                      5,                 1.2848,                 1.9806,                 1.3605,                0.90796,                0.66513,                0.76033,                0.53203,                  1.175,                 1.1999,                 1.3206,              0.0009802,              0.0009802,              0.0009802
                      6,                  1.169,                 1.8332,                 1.2859,                0.90792,                0.67003,                0.79287,                0.54907,                 1.1623,                 1.3587,                 1.3511,             0.00097525,             0.00097525,             0.00097525
                      7,                 1.1785,                 1.7413,                 1.3207,                0.78217,                0.79324,                0.83764,                0.55046,                 1.1233,                 1.0649,                 1.2819,              0.0009703,              0.0009703,              0.0009703
                      8,                 1.1859,                  1.606,                 1.2976,                0.65599,                0.64246,                0.67401,                 0.4753,                 1.1725,                 1.3449,                 1.3925,             0.00096535,             0.00096535,             0.00096535
                      9,                 1.1286,                  1.459,                 1.2654,                 0.6862,                0.84074,                0.79902,                0.57342,                 1.0543,                0.99754,                 1.2086,              0.0009604,              0.0009604,              0.0009604
                     10,                 1.1277,                  1.387,                 1.2491,                0.79649,                0.81642,                0.86346,                0.60205,                 1.1413,                 1.0156,                 1.2994,             0.00095545,             0.00095545,             0.00095545
                     11,                 1.1699,                 1.3664,                 1.2757,                0.84655,                0.82236,                 0.8212,                 0.5619,                 1.1005,                 1.0205,                 1.2951,              0.0009505,              0.0009505,              0.0009505
