                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.92128,                0.68206,                 1.3023,                0.98937,                      1,                0.99132,                0.84822,                0.63277,                0.57482,                 1.0679,              0.0011224,              0.0011224,              0.0011224
                     36,                0.91365,                0.65119,                 1.2743,                0.99284,                      1,                0.99069,                0.86582,                0.58392,                0.51835,                 1.0319,              0.0011059,              0.0011059,              0.0011059
                     37,                0.91265,                0.65661,                 1.2933,                0.99054,                      1,                0.99025,                 0.8625,                0.61477,                0.52777,                 1.0328,              0.0010894,              0.0010894,              0.0010894
                     38,                0.84914,                 0.6607,                 1.2922,                0.98836,                      1,                0.99181,                0.84458,                 0.6069,                 0.5545,                 1.0211,              0.0010729,              0.0010729,              0.0010729
                     39,                0.89684,                0.63555,                 1.2531,                0.99244,                      1,                0.99186,                0.89592,                0.49972,                0.48967,                0.98549,              0.0010564,              0.0010564,              0.0010564
                     40,                0.90459,                0.67838,                  1.304,                 0.9896,                      1,                0.99054,                0.87184,                0.52916,                0.49727,                 0.9999,              0.0010399,              0.0010399,              0.0010399
                     41,                0.84576,                 0.6294,                 1.2891,                0.99252,                      1,                0.99039,                0.88355,                0.50481,                0.49735,                0.97635,              0.0010234,              0.0010234,              0.0010234
                     42,                0.84726,                 0.6027,                 1.2285,                0.99275,                      1,                 0.9925,                0.87566,                0.51871,                 0.4588,                0.99422,              0.0010069,              0.0010069,              0.0010069
                     43,                0.83912,                0.61348,                 1.2386,                0.99257,                      1,                0.99338,                0.88658,                0.52854,                0.46164,                 1.0058,             0.00099036,             0.00099036,             0.00099036
                     44,                0.85189,                0.61958,                 1.2476,                0.99206,                      1,                0.99157,                0.87339,                0.49465,                0.49161,                0.97723,             0.00097386,             0.00097386,             0.00097386
                     45,                0.83101,                0.59116,                 1.2179,                0.99288,                      1,                0.99265,                0.88004,                0.51114,                0.44551,                0.98619,             0.00095736,             0.00095736,             0.00095736
                     46,                0.82175,                0.59515,                 1.2321,                 0.9911,                      1,                0.99289,                0.89519,                 0.4546,                0.45593,                0.97541,             0.00094085,             0.00094085,             0.00094085
                     47,                0.75446,                0.57113,                 1.1941,                0.99229,                      1,                0.99098,                0.87563,                0.51102,                 0.4712,                0.97378,             0.00092435,             0.00092435,             0.00092435
                     48,                0.79854,                0.56452,                 1.1871,                0.99061,                0.99956,                0.99186,                 0.9045,                0.47258,                 0.4502,                0.95398,             0.00090785,             0.00090785,             0.00090785
                     49,                0.76186,                0.56886,                 1.1783,                0.99193,                      1,                0.99211,                0.90566,                0.50782,                0.42324,                0.96698,             0.00089134,             0.00089134,             0.00089134
                     50,                0.78869,                0.55127,                 1.2231,                0.99278,                      1,                0.99412,                0.90933,                0.43282,                0.39855,                0.94714,             0.00087484,             0.00087484,             0.00087484
                     51,                0.74462,                0.56048,                 1.1976,                 0.9908,                      1,                0.99353,                0.88925,                0.44661,                0.42327,                0.95713,             0.00085834,             0.00085834,             0.00085834
                     52,                0.76346,                0.54302,                 1.1976,                0.99256,                      1,                0.99196,                 0.8942,                0.49445,                0.41641,                0.95125,             0.00084184,             0.00084184,             0.00084184
                     53,                0.77736,                0.55288,                 1.1861,                0.99276,                      1,                0.99235,                0.91074,                0.42545,                0.38129,                0.92504,             0.00082533,             0.00082533,             0.00082533
                     54,                0.76251,                0.54182,                 1.1596,                0.99108,                      1,                0.99338,                0.92093,                0.42165,                 0.3862,                0.92383,             0.00080883,             0.00080883,             0.00080883
                     55,                 0.7655,                0.52627,                 1.1573,                0.99176,                      1,                0.99456,                0.92136,                0.40272,                0.38526,                0.92433,             0.00079233,             0.00079233,             0.00079233
                     56,                0.75413,                 0.5564,                 1.2117,                0.99305,                      1,                0.99377,                0.91805,                 0.4407,                0.37629,                0.92915,             0.00077582,             0.00077582,             0.00077582
                     57,                0.73117,                0.51756,                 1.1719,                0.99235,                      1,                0.99451,                0.91718,                0.43296,                0.36386,                0.92456,             0.00075932,             0.00075932,             0.00075932
                     58,                0.73718,                0.53275,                 1.1598,                0.99219,                      1,                0.99123,                0.90431,                0.43542,                0.37609,                0.92021,             0.00074282,             0.00074282,             0.00074282
                     59,                0.71707,                0.50313,                 1.1412,                0.99267,                      1,                0.99299,                0.90601,                 0.4638,                0.36949,                0.92656,             0.00072631,             0.00072631,             0.00072631
                     60,                0.74063,                0.51421,                 1.1677,                0.99201,                      1,                0.99235,                 0.9094,                0.44277,                0.38283,                0.91564,             0.00070981,             0.00070981,             0.00070981
                     61,                0.71513,                0.50279,                 1.1721,                  0.992,                      1,                0.99289,                0.90415,                0.44864,                0.37272,                0.92747,             0.00069331,             0.00069331,             0.00069331
                     62,                0.72575,                0.49514,                 1.1299,                 0.9927,                      1,                0.99333,                0.91191,                0.43384,                0.35725,                0.91565,              0.0006768,              0.0006768,              0.0006768
                     63,                0.73284,                0.49005,                 1.1464,                0.99141,                      1,                 0.9925,                0.91505,                0.42909,                0.36317,                0.91718,              0.0006603,              0.0006603,              0.0006603
                     64,                0.72057,                0.49003,                 1.1272,                0.99204,                      1,                0.99147,                0.90888,                0.42503,                0.34931,                 0.9146,              0.0006438,              0.0006438,              0.0006438
                     65,                0.69996,                0.47286,                 1.1151,                0.99234,                      1,                0.99225,                0.90724,                0.42079,                 0.3495,                0.91274,             0.00062729,             0.00062729,             0.00062729
                     66,                0.78197,                0.53479,                 1.2154,                0.99199,                      1,                 0.9925,                0.92472,                0.39396,                0.33651,                0.90143,             0.00061079,             0.00061079,             0.00061079
                     67,                 0.6649,                0.46413,                 1.1235,                0.99194,                      1,                0.99289,                0.91689,                0.40491,                0.34267,                0.90629,             0.00059429,             0.00059429,             0.00059429
                     68,                0.70015,                0.48018,                 1.1369,                0.99214,                      1,                 0.9925,                0.92958,                 0.3617,                0.32884,                0.90032,             0.00057778,             0.00057778,             0.00057778
