                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.91378,                0.71231,                  1.113,                0.89647,                 0.8354,                0.86058,                0.63631,                0.98559,                0.54023,                 1.1708,              0.0006634,              0.0006634,              0.0006634
                     36,                0.86576,                0.66906,                 1.0901,                0.89386,                0.89778,                 0.9109,                 0.6393,                0.99124,                0.48436,                  1.151,              0.0006535,              0.0006535,              0.0006535
                     37,                0.85385,                0.65365,                  1.089,                0.86447,                0.80741,                0.84482,                0.63029,                0.95609,                0.55201,                 1.1521,              0.0006436,              0.0006436,              0.0006436
                     38,                0.91447,                 0.6976,                 1.1239,                0.88293,                0.86999,                0.86215,                0.64528,                 1.0119,                0.54255,                 1.1788,              0.0006337,              0.0006337,              0.0006337
                     39,                0.86025,                0.66802,                 1.0874,                0.89235,                0.90097,                 0.9461,                  0.678,                0.98469,                0.52549,                 1.1688,              0.0006238,              0.0006238,              0.0006238
                     40,                0.89118,                0.69558,                 1.1072,                0.81089,                0.88234,                0.89476,                0.67877,                 0.9136,                0.50857,                 1.1271,              0.0006139,              0.0006139,              0.0006139
                     41,                0.87097,                0.66105,                 1.0913,                0.91906,                0.81784,                0.88122,                0.64904,                 0.9813,                0.56499,                 1.1792,               0.000604,               0.000604,               0.000604
                     42,                0.79833,                0.61999,                 1.0644,                0.95424,                0.87325,                0.92827,                0.67029,                0.94297,                0.50445,                 1.1434,              0.0005941,              0.0005941,              0.0005941
                     43,                0.83371,                0.61954,                 1.0736,                0.94225,                0.91833,                0.96375,                0.68801,                0.96195,                0.47739,                  1.141,              0.0005842,              0.0005842,              0.0005842
                     44,                0.84939,                0.62314,                 1.0818,                0.94672,                0.91325,                0.96667,                0.65563,                0.99409,                0.50815,                 1.1781,              0.0005743,              0.0005743,              0.0005743
                     45,                0.83557,                 0.6275,                  1.075,                0.85131,                0.86998,                0.88922,                0.64567,                0.98004,                0.54609,                 1.1525,              0.0005644,              0.0005644,              0.0005644
                     46,                0.82682,                0.61754,                 1.0775,                0.94137,                0.86024,                 0.9408,                 0.6609,                0.93532,                0.46448,                 1.1271,              0.0005545,              0.0005545,              0.0005545
                     47,                0.81847,                0.61035,                 1.0545,                0.89148,                0.87559,                0.94272,                0.66594,                0.88907,                0.46347,                 1.1029,              0.0005446,              0.0005446,              0.0005446
                     48,                0.80537,                0.58585,                  1.063,                0.88597,                0.91814,                0.95925,                0.69755,                0.88786,                0.44622,                 1.1156,              0.0005347,              0.0005347,              0.0005347
                     49,                0.80192,                0.59004,                 1.0538,                 0.9646,                0.84498,                0.89309,                0.66219,                0.95025,                0.48915,                 1.1482,              0.0005248,              0.0005248,              0.0005248
                     50,                0.83454,                0.59425,                 1.0636,                0.90211,                0.83519,                0.88634,                0.64342,                 0.9458,                0.50919,                 1.1371,              0.0005149,              0.0005149,              0.0005149
                     51,                0.76932,                0.55616,                 1.0442,                0.89808,                0.82737,                0.89996,                0.64844,                0.93982,                0.52907,                  1.146,               0.000505,               0.000505,               0.000505
                     52,                0.74895,                0.54062,                 1.0233,                0.87301,                0.82303,                0.86815,                0.63658,                0.93047,                0.53922,                 1.1244,              0.0004951,              0.0004951,              0.0004951
                     53,                0.78252,                0.58301,                 1.0394,                0.89199,                0.88019,                0.90865,                0.66952,                0.92192,                0.48791,                 1.1252,              0.0004852,              0.0004852,              0.0004852
                     54,                0.78494,                0.56955,                 1.0415,                0.86439,                0.96728,                0.93773,                0.66233,                0.92776,                0.46509,                 1.1413,              0.0004753,              0.0004753,              0.0004753
                     55,                0.78704,                0.57424,                 1.0548,                0.97628,                0.89696,                0.96036,                0.68666,                0.91038,                0.46664,                 1.1171,              0.0004654,              0.0004654,              0.0004654
                     56,                0.75866,                0.53039,                 1.0165,                0.96199,                0.85059,                0.90351,                0.66076,                 0.9033,                0.47036,                 1.1324,              0.0004555,              0.0004555,              0.0004555
                     57,                0.77396,                0.53942,                 1.0341,                0.88436,                0.88311,                0.90935,                0.69252,                0.89476,                0.48151,                 1.1294,              0.0004456,              0.0004456,              0.0004456
                     58,                0.79393,                0.55435,                 1.0425,                0.90773,                0.89146,                0.90246,                 0.6626,                0.95113,                0.47696,                 1.1603,              0.0004357,              0.0004357,              0.0004357
                     59,                0.74969,                0.53182,                 1.0229,                0.93229,                0.81689,                0.89976,                  0.673,                0.93672,                0.47744,                 1.1582,              0.0004258,              0.0004258,              0.0004258
                     60,                 0.7409,                0.52393,                 1.0179,                   0.94,                0.84525,                0.89341,                0.67606,                0.93291,                0.47642,                 1.1613,              0.0004159,              0.0004159,              0.0004159
                     61,                  0.757,                 0.5334,                 1.0371,                0.95665,                0.84788,                0.89313,                0.66731,                0.92119,                0.47543,                 1.1297,               0.000406,               0.000406,               0.000406
                     62,                0.74651,                0.51124,                 1.0182,                0.97403,                0.81886,                0.87354,                0.66237,                0.90097,                0.45567,                 1.1231,              0.0003961,              0.0003961,              0.0003961
                     63,                0.75118,                0.50965,                 1.0117,                0.93354,                0.81566,                0.88694,                0.63912,                0.91934,                0.46991,                 1.1384,              0.0003862,              0.0003862,              0.0003862
                     64,                0.72651,                0.49045,                 1.0024,                0.89723,                0.88295,                0.91139,                0.67674,                0.87772,                0.43419,                 1.1147,              0.0003763,              0.0003763,              0.0003763
                     65,                0.71696,                0.48303,                 1.0142,                0.91058,                0.87966,                0.90169,                0.66946,                0.90589,                0.42202,                 1.1274,              0.0003664,              0.0003664,              0.0003664
                     66,                0.70639,                0.48056,                 1.0119,                0.96582,                0.81927,                0.88131,                0.65576,                0.97654,                0.46655,                 1.1823,              0.0003565,              0.0003565,              0.0003565
                     67,                0.70121,                0.48233,                 1.0103,                0.93439,                0.86481,                0.90955,                0.65442,                0.90335,                0.44475,                 1.1235,              0.0003466,              0.0003466,              0.0003466
                     68,                0.73155,                0.48521,                 1.0185,                0.91598,                0.85926,                0.88889,                 0.6667,                0.92116,                0.50696,                 1.1226,              0.0003367,              0.0003367,              0.0003367
                     69,                0.71979,                0.50083,                 1.0179,                  0.954,                0.86481,                 0.9025,                0.68208,                0.91468,                0.44825,                 1.1278,              0.0003268,              0.0003268,              0.0003268
                     70,                0.69177,                0.47228,                 1.0015,                0.89209,                0.91498,                0.91014,                0.66164,                0.95036,                0.44729,                 1.1505,              0.0003169,              0.0003169,              0.0003169
                     71,                0.71126,                 0.4906,                  1.003,                0.88889,                0.87541,                0.90499,                0.68451,                0.93501,                0.41636,                 1.1401,               0.000307,               0.000307,               0.000307
                     72,                0.69221,                0.48012,                 1.0091,                0.89577,                0.92288,                0.94108,                0.68408,                0.98181,                0.41347,                 1.1904,              0.0002971,              0.0002971,              0.0002971
                     73,                0.68931,                0.47671,                 0.9984,                0.92805,                0.85956,                0.93389,                 0.6784,                0.96392,                0.42302,                 1.1885,              0.0002872,              0.0002872,              0.0002872
                     74,                0.70174,                0.47344,                0.99558,                0.88539,                0.89769,                0.91229,                0.67485,                0.96073,                0.42755,                 1.1992,              0.0002773,              0.0002773,              0.0002773
                     75,                0.67936,                0.46028,                0.99769,                0.88947,                 0.9038,                0.91102,                0.66258,                0.95001,                0.42386,                 1.2019,              0.0002674,              0.0002674,              0.0002674
                     76,                0.70643,                0.46925,                0.99488,                0.93217,                0.88525,                0.94948,                0.69533,                0.88076,                0.38137,                 1.1272,              0.0002575,              0.0002575,              0.0002575
                     77,                0.67115,                0.46129,                 0.9966,                0.97342,                 0.8698,                0.95055,                0.67811,                0.92017,                0.40058,                 1.1564,              0.0002476,              0.0002476,              0.0002476
                     78,                0.64451,                 0.4463,                 0.9749,                0.92077,                0.86163,                0.91574,                0.67467,                0.93287,                0.41603,                  1.159,              0.0002377,              0.0002377,              0.0002377
